title,author,year,filename,gutenberg_url,text_url,ebook_id
Second Treatise of Government,"Locke, John",2005,Second_Treatise_of_Government_Locke_John.txt,https://www.gutenberg.org/ebooks/7370,https://www.gutenberg.org/files/7370/7370-0.txt,7370
On Liberty,"Mill, John Stuart",2011,On_Liberty_Mill_John_Stuart.txt,https://www.gutenberg.org/ebooks/34901,https://www.gutenberg.org/files/34901/34901.txt,34901
The Confessions of St. Augustine,"Augustine, Saint, Bishop of Hippo",2002,The_Confessions_of_St_Augustine_Augustine_Saint_Bishop_of_Hippo.txt,https://www.gutenberg.org/ebooks/3296,https://www.gutenberg.org/files/3296/3296-0.txt,3296
Winnie-the-Pooh,"Milne, A. A",2022,,https://www.gutenberg.org/ebooks/67098,https://www.gutenberg.org/files/67098/67098-0.txt,67098
The Romance of Lust: A classic Victorian erotic novel,Anonymous,2009,,https://www.gutenberg.org/ebooks/30254,https://www.gutenberg.org/files/30254/30254-0.txt,30254
Alice's Adventures in Wonderland,"Carroll, Lewis",2008,,https://www.gutenberg.org/ebooks/11,https://www.gutenberg.org/files/11/11-0.txt,11
"Little Women; Or, Meg, Jo, Beth, and Amy","Alcott, Louisa May",2011,,https://www.gutenberg.org/ebooks/37106,https://www.gutenberg.org/files/37106/37106-0.txt,37106
War and Peace,"Tolstoy, Leo, graf",2001,,https://www.gutenberg.org/ebooks/2600,https://www.gutenberg.org/files/2600/2600-0.txt,2600
"History of Tom Jones, a Foundling","Fielding, Henry",2004,,https://www.gutenberg.org/ebooks/6593,https://www.gutenberg.org/files/6593/6593-0.txt,6593
Dracula,"Stoker, Bram",1995,,https://www.gutenberg.org/ebooks/345,https://www.gutenberg.org/files/345/345-0.txt,345
"Doctrina ChristianaThe first book printed in the Philippines, Manila, 1593.",Unknown,2005,,https://www.gutenberg.org/ebooks/16119,https://www.gutenberg.org/files/16119/16119.txt,16119
A dictionary of American authors,"Adams, Oscar Fay",2023,,https://www.gutenberg.org/ebooks/71324,https://www.gutenberg.org/files/71324/71324-0.txt,71324
The Great Gatsby,"Fitzgerald, F. Scott",2021,,https://www.gutenberg.org/ebooks/64317,https://www.gutenberg.org/files/64317/64317-0.txt,64317
The Picture of Dorian Gray,"Wilde, Oscar",1994,,https://www.gutenberg.org/ebooks/174,https://www.gutenberg.org/files/174/174-0.txt,174
Peter Pan,"Barrie, J. M",2008,,https://www.gutenberg.org/ebooks/16,https://www.gutenberg.org/files/16/16-0.txt,16
The War of the Worlds,"Wells, H. G",2004,,https://www.gutenberg.org/ebooks/36,https://www.gutenberg.org/files/36/36-0.txt,36
Middlemarch,"Eliot, George",1994,,https://www.gutenberg.org/ebooks/145,https://www.gutenberg.org/files/145/145-0.txt,145
